,Nome,Co,Fe,Ni,Si,Al,Cr,Mo,Nb,Ti,C,V,Zr,Mn,Cu,B,Y,Sn,Li,Mg,Zn,Sc,Hf,Ta,W,Ref.,Type of phases,r# (g/cm3),HV,Type of tests,sy (MPa),smax (MPa),e (%),E# (GPa)
323,MoNbTiV2.0Zr,,,,,,,16.66666667,16.66666667,16.66666667,,33.33333333,16.66666667,,,,,,,,,,,,,75,BCC,7.0,,C,1538,3176,23,146
324,MoNbTiV3.0Zr,,,,,,,14.28571429,14.28571429,14.28571429,,42.85714286,14.28571429,,,,,,,,,,,,,75,BCC,6.9,,C,1418,2508,24,143
325,MoNbTiZr,,,,,,,25,25,25,,,25,,,,,,,,,,,,,75,BCC,7.3,,C,1592,3450,34,155
326,NbTaTiV,,,,,,,,25,25,,25,,,,,,,,,,,,25,,55,BCC,9.2,,C,1092,,,106
327,NbTaVW,,,,,,,,25,,,25,,,,,,,,,,,,25,25,76,BCC,12.9,492,C,1530,,12,208
328,NbTaTiVW,,,,,,,,20,20,,20,,,,,,,,,,,,20,20,76,BCC+HCP,11.1,447,C,1420,,20,
329,NbTiV0.3Zr,,,,,,,,30.3030303,30.3030303,,9.090909091,30.3030303,,,,,,,,,,,,,74,BCC,6.5,,C,866,,45,
330,NbTiV0.3Mo0.1Zr,,,,,,,2.941176471,29.41176471,29.41176471,,8.823529412,29.41176471,,,,,,,,,,,,,74,BCC,6.6,,C,932,,45,
331,NbTiV0.3Mo0.3Zr,,,,,,,8.333333333,27.77777778,27.77777778,,8.333333333,27.77777778,,,,,,,,,,,,,74,BCC,6.8,,C,1312,,50,
332,NbTiV0.3Mo0.5Zr,,,,,,,13.15789474,26.31578947,26.31578947,,7.894736842,26.31578947,,,,,,,,,,,,,74,BCC,6.9,,C,1301,,43,
333,NbTiV0.3Mo0.7Zr,,,,,,,17.5,25,25,,7.5,25,,,,,,,,,,,,,74,BCC,7.1,,C,1436,,27,
334,NbTiV0.3MoZr,,,,,,,23.25581395,23.25581395,23.25581395,,6.976744186,23.25581395,,,,,,,,,,,,,74,BCC,7.3,,C,1455,,25,
335,NbTiV0.3Mo1.3Zr,,,,,,,28.26086957,21.73913043,21.73913043,,6.52173913,21.73913043,,,,,,,,,,,,,74,BCC,7.4,,C,1603,,20,
336,NbTiV0.3Mo1.5Zr,,,,,,,31.25,20.83333333,20.83333333,,6.25,20.83333333,,,,,,,,,,,,,74,BCC,7.5,,C,1576,,8,
337,NbTiVZr,,,,,,,,25,25,,25,25,,,,,,,,,,,,,74,BCC,6.5,,C,1104,,50,
338,NbTiVZr,,,,,,,,25,25,,25,25,,,,,,,,,,,,,59,BCC,6.5,335,C,1105,,> 50,104
339,NbTiV2Zr,,,,,,,,20,20,,40,20,,,,,,,,,,,,,59,BCC,6.4,304,C,918,,> 50,109
340,CoCrCuFeNiTiVZr,12.5,12.5,12.5,,,12.5,,,12.5,,12.5,12.5,,12.5,,,,,,,,,,,27,,7.1,680,,,,,168
341,CoCrFeMoNiTiVZr,12.5,12.5,12.5,,,12.5,12.5,,12.5,,12.5,12.5,,,,,,,,,,,,,27,,7.3,850,,,,,193
342,CoCuFeNiTiVZr,14.28571429,14.28571429,14.28571429,,,,,,14.28571429,,14.28571429,14.28571429,,14.28571429,,,,,,,,,,,27,,7.1,630,,,,,
343,CoFeNiV,25,25,25,,,,,,,,25,,,,,,,,,,,,,,77,FCC,7.8,238,,,,,187
344,CoFeMo0.2NiV,23.80952381,23.80952381,23.80952381,,,,4.761904762,,,,23.80952381,,,,,,,,,,,,,,77,FCC + Im,8.0,267,,,,,
345,CoFeMo0.4NiV,22.72727273,22.72727273,22.72727273,,,,9.090909091,,,,22.72727273,,,,,,,,,,,,,,77,FCC + Im,8.1,402,,,,,
346,CoFeMo0.6NiV,21.73913043,21.73913043,21.73913043,,,,13.04347826,,,,21.73913043,,,,,,,,,,,,,,77,FCC + Im,8.2,557,,,,,
347,CoFeMo0.8NiV,20.83333333,20.83333333,20.83333333,,,,16.66666667,,,,20.83333333,,,,,,,,,,,,,,77,FCC + Im,8.3,606,,,,,
348,CoFeMoNiV,20,20,20,,,,20,,,,20,,,,,,,,,,,,,,77,FCC + Im,8.4,625,,,,,
349,CoFeMoNi1.2V,19.23076923,19.23076923,23.07692308,,,,19.23076923,,,,19.23076923,,,,,,,,,,,,,,77,FCC + Im,8.4,602,,,,,
350,CoFeMoNi1.4V,18.51851852,18.51851852,25.92592593,,,,18.51851852,,,,18.51851852,,,,,,,,,,,,,,77,FCC + Im,8.5,538,,,,,
351,CoFeMoNi1.6V,17.85714286,17.85714286,28.57142857,,,,17.85714286,,,,17.85714286,,,,,,,,,,,,,,77,FCC + Im,8.5,520,,,,,
352,CoFeMoNi1.8V,17.24137931,17.24137931,31.03448276,,,,17.24137931,,,,17.24137931,,,,,,,,,,,,,,77,FCC + Im,8.5,510,,,,,
353,CoFeMoNi2V,16.66666667,16.66666667,33.33333333,,,,16.66666667,,,,16.66666667,,,,,,,,,,,,,,77,FCC + Im,8.5,382,,,,,
354,CoFeMoNiTiVZr,14.28571429,14.28571429,14.28571429,,,,14.28571429,,14.28571429,,14.28571429,14.28571429,,,,,,,,,,,,,27,,7.3,790,,,,,
355,CuFeNiTiVZr,,16.66666667,16.66666667,,,,,,16.66666667,,16.66666667,16.66666667,,16.66666667,,,,,,,,,,,27,,6.8,590,,,,,142
356,CoCrCuFeMnNiTiV,12.5,12.5,12.5,,,12.5,,,12.5,,12.5,,12.5,12.5,,,,,,,,,,,78,FCC + BCC + Im,7.3,,C,1312,1312,< 1,74
